Item No.,Time Period,Phase,Row Type,Type of Work,Contractor Name,Scheduled Original,Scheduled Change Orders,Scheduled Current,Work Completed From Previous Application,Work Completed This Period,Materials Presently Stored,Total Completed and Stored,% (G / C),Balance to Finish (C-G),Retainage (If Variable Rate)
089,2/28/26,PKRD - PARKING & ROADWAYS,line_item,GENERAL REQUIREMENTS,,9608.0,200.0,9808.0,0,0.0,0.0,0,0,9808.0,
090,2/28/26,PKRD - PARKING & ROADWAYS,line_item,BUILDER'S RISK,,238336.0,15872.0,254208.0,0,0.0,0.0,0,0,254208.0,
091,2/28/26,PKRD - PARKING & ROADWAYS,line_item,BUSINESS LICENSE,,56869.0,2459.0,59328.0,0,0.0,0.0,0,0,59328.0,
092,2/28/26,PKRD - PARKING & ROADWAYS,line_item,PERMITS,,17467.0,0.0,17467.0,0,0.0,0.0,0,0,17467.0,
093,2/28/26,PKRD - PARKING & ROADWAYS,line_item,CCIP,,2427503.0,428228.0,2855731.0,2695900,0.0,0.0,2695900,94,159831.0,
094,2/28/26,PKRD - PARKING & ROADWAYS,line_item,SDI,,1191683.0,221559.0,1413242.0,1334780,0.0,0.0,1334780,94,78462.0,
095,2/28/26,PKRD - PARKING & ROADWAYS,line_item,FEE,,2695682.0,523418.0,3219100.0,891151,335000.0,0.0,1226151,38,1992949.0,
096,2/28/26,TEMP FIRE - PARKING & ROADWAYS,line_item,UNCOMMITTED SUB COST,,,,,0,0.0,0.0,0,0,,
097,2/28/26,TEMP FIRE - PARKING & ROADWAYS,line_item,CONCRETE,LITHKO,294249.0,0.0,294249.0,292166,0.0,0.0,292166,99,2083.0,14608.0
098,2/28/26,TEMP FIRE - PARKING & ROADWAYS,line_item,ELECTRICAL,FEYEN ZYLSTRA,127328.0,0.0,127328.0,119533,0.0,0.0,119533,94,7795.0,5977.0
099,2/28/26,TEMP FIRE - PARKING & ROADWAYS,line_item,SITEWORK,OL THOMPSON,706716.0,0.0,706716.0,601062,64803.0,0.0,665865,94,40851.0,
100,2/28/26,TEMP FIRE - PARKING & ROADWAYS,line_item,PERMANENT FENCING,MANER,101700.0,0.0,101700.0,76000,0.0,0.0,76000,75,25700.0,
101,2/28/26,TEMP FIRE - PARKING & ROADWAYS,line_item,EARTHWORK,LANDMARK,40020.0,0.0,40020.0,40020,0.0,0.0,40020,100,0.0,
102,2/28/26,TEMP FIRE - PARKING & ROADWAYS,line_item,GENERAL CONDITIONS,,128004.0,0.0,128004.0,0,0.0,0.0,0,0,128004.0,
103,2/28/26,TEMP FIRE - PARKING & ROADWAYS,line_item,GENERAL REQUIREMENTS,,122497.0,0.0,122497.0,0,0.0,0.0,0,0,122497.0,
104,2/28/26,TEMP FIRE STATION,line_item,DESIGN ESCALATION,,9527.0,0.0,9527.0,0,0.0,0.0,0,0,9527.0,
105,2/28/26,TEMP FIRE STATION,line_item,BUSINESS LICENSE/PERMITS,,2068.0,0.0,2068.0,0,0.0,0.0,0,0,2068.0,
106,2/28/26,TEMP FIRE STATION,line_item,BUILDER'S RISK,,292.0,0.0,292.0,0,0.0,0.0,0,0,292.0,
107,2/28/26,TEMP FIRE STATION,line_item,CCIP,,26532.0,0.0,26532.0,15240,0.0,0.0,15240,57,11292.0,
108,2/28/26,TEMP FIRE STATION,line_item,SDI,,36588.0,0.0,36588.0,31045,0.0,0.0,31045,85,5543.0,
109,2/28/26,TEMP FIRE STATION,line_item,FEE,,50458.0,0.0,50458.0,37100,2500.0,0.0,39600,78,10858.0,
110,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,line_item,UNCOMMITTED SUB COST,,-160177741.0,162207299.0,2029558.0,0,0.0,0.0,0,0,2029558.0,
111,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,line_item,STRUCTURAL STEEL,SC STEEL,102462000.0,20561677.0,123023677.0,48510319,4007640.0,1303789.0,53821748,44,69201929.0,2691087.0
112,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,line_item,IMP,MR&D,8139666.0,1800.0,8141466.0,64412,0.0,0.0,64412,1,8077054.0,3221.0
113,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,line_item,HANGER DOORS,INTERNATIONAL DOOR,13104689.0,1689332.0,14794021.0,950022,0.0,0.0,950022,6,13843999.0,47501.0
114,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,line_item,DEEP FOUNDATIONS CAISSONS,BAUER,8003550.0,2163700.0,10167250.0,6660055,1910138.0,19528.0,8589721,84,1577529.0,429486.0
115,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,line_item,BRIDGE CRANES,AMERICAN CRANE,73819000.0,0.0,73819000.0,8795258,1113900.0,0.0,9909158,13,63909842.0,495458.0
116,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,line_item,ELEVATORS,SCHINDLER,9000000.0,82999.0,9082999.0,3234429,0.0,0.0,3234429,36,5848570.0,161721.0
117,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,line_item,SITE MEDIUM VOLTAGE,ELDECO,22130190.0,0.0,22130190.0,7409469,0.0,0.0,7409469,33,14720721.0,370473.0
118,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,line_item,CONCRETE BATCH PLANT,CONCRETE SUPPLY,324406.0,0.0,324406.0,0,0.0,0.0,0,0,324406.0,
119,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,line_item,CIC CONCRETE,WAYNE BROTHERS,41452021.0,311080.0,41763101.0,4855240,3227787.0,0.0,8083027,19,33680074.0,404151.0
120,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,line_item,SITEWORK & EXCAVATION,OL THOMPSON,26636786.0,231739.0,26868525.0,11205817,4211940.0,0.0,15417757,57,11450768.0,770888.0
121,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,line_item,PRECAST CONCRETE PANELS,FLORENCE CONCRETE,1440001.0,2195.0,1442196.0,116400,407751.0,0.0,524151,36,918045.0,26208.0
122,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,line_item,ROOFING,AAR OF NORTH CAROLINA,6534364.0,62430.0,6596794.0,0,0.0,0.0,0,0,6596794.0,
123,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,line_item,TRANSLUCENT PANELS,CAROLINA ARCHITECTURAL PRODUCTS,1430310.0,4770.0,1435080.0,121576,0.0,0.0,121576,8,1313504.0,6079.0
124,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,line_item,MECHANICAL & PLUMBING,BELL CONSTRUCTORS,95619000.0,0.0,95619000.0,4063141,286857.0,0.0,4349998,5,91269002.0,217500.0
125,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,line_item,FIRE PROTECTION,SHAMBAUGH & SON,14347770.0,0.0,14347770.0,135000,45000.0,0.0,180000,1,14167770.0,9000.0
126,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,line_item,ELECTRICAL/FIRE ALARM SYSTEM,ELDECO,163284605.0,0.0,163284605.0,27676428,787914.0,0.0,28464342,17,134820263.0,1423217.0
127,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,line_item,STRUCTURAL STEEL TUNNEL LIDS,STEELFAB,23550950.0,0.0,23550950.0,251250,0.0,0.0,251250,1,23299700.0,12563.0
128,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,line_item,STRUCTURAL PAINTING,SOUTHERN PAINTING,7875000.0,0.0,7875000.0,0,0.0,0.0,0,0,7875000.0,
129,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,line_item,GLASS AND GLAZING,GLASSCORP,6101008.0,0.0,6101008.0,1668334,51874.0,0.0,1720208,28,4380800.0,86010.0
130,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,line_item,TEMPORARY MATERIAL HOIST,MASTCLIMBERS,1303828.0,0.0,1303828.0,0,0.0,0.0,0,0,1303828.0,
131,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,line_item,MASONRY,OLD NORTH STATE MASONRY,860750.0,0.0,860750.0,0,0.0,0.0,0,0,860750.0,
132,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,line_item,DOORS AND HARDWARE,UNIFIED DOORS,1661164.0,0.0,1661164.0,0,0.0,0.0,0,0,1661164.0,
133,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,line_item,OVERHEAD DOOR,MINER CORP,1347694.0,0.0,1347694.0,0,0.0,0.0,0,0,1347694.0,
134,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,line_item,COMPRESSED AIR SYSTEM,ICON MECHANICAL,10279434.0,0.0,10279434.0,0,0.0,0.0,0,0,10279434.0,
135,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,line_item,KITCHEN EQUIPMENT,SINGER T&L,1327895.0,0.0,1327895.0,0,0.0,0.0,0,0,1327895.0,
136,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,line_item,RESIDENTIAL EQUIPMENT,SINGER T&L,346800.0,0.0,346800.0,0,0.0,0.0,0,0,346800.0,
137,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,line_item,"FRAMING, DRYWALL ACOUSTIC",ROCKSPRING,7796500.0,0.0,7796500.0,0,0.0,0.0,0,0,7796500.0,
138,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,line_item,"FRAMING, DRYWALL ACOUSTIC",PRECISION,8023338.0,0.0,8023338.0,0,0.0,0.0,0,0,8023338.0,
139,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,line_item,WIRE MESH PARTITION,CAROLINA MATERIAL HANDLING,443362.0,0.0,443362.0,0,0.0,0.0,0,0,443362.0,
140,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,line_item,SPECIALTIES,LIGHT GAUGE,1510999.0,0.0,1510999.0,0,0.0,0.0,0,0,1510999.0,
141,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,line_item,COASTAL MILLWORKS,,2816774.0,0.0,2816774.0,0,0.0,0.0,0,0,2816774.0,
142,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,line_item,JOINT SEALANTS AND EXPANSION CONTROLS,ALPHA INSULATION,476480.0,0.0,476480.0,0,0.0,0.0,0,0,476480.0,
143,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,line_item,WINDOW COVERINGS,PRECISION WALLS,358997.0,0.0,358997.0,0,0.0,0.0,0,0,358997.0,
144,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,line_item,FABRIC AND SOUND PROOFING,WARCO,1174991.0,0.0,1174991.0,0,0.0,0.0,0,0,1174991.0,
145,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,line_item,HIGH PERFORMANCE COATINGS,DAVID ALLEN COMPANY,1227984.0,0.0,1227984.0,0,0.0,0.0,0,0,1227984.0,
146,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,line_item,DEMOLITION,DECO,40913.0,0.0,40913.0,0,0.0,0.0,0,0,40913.0,
147,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,line_item,GENERAL REQUIREMENTS,,16025575.0,0.0,16025575.0,0,0.0,0.0,0,0,16025575.0,
148,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,line_item,GENERAL CONDITIONS,,26279917.0,0.0,26279917.0,5519634,3037574.0,0.0,8557208,33,17722709.0,
149,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,line_item,PERMIT,,2000000.0,186031.0,2186031.0,2000000,0.0,0.0,2000000,91,186031.0,
150,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,line_item,BUILDER'S RISK,,1694880.0,48572.0,1743452.0,0,0.0,0.0,0,0,1743452.0,
151,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,line_item,BUSINESS LICENSE,,404409.0,26077.0,430486.0,0,0.0,0.0,0,0,430486.0,
152,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,line_item,CCIP,,17262664.0,5444224.0,22706888.0,20750888,0.0,0.0,20750888,91,1956000.0,
153,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,line_item,SDI,,8474398.0,2350880.0,10825278.0,10222060,0.0,0.0,10222060,94,603218.0,
154,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,line_item,FEE,,19169747.0,6093773.0,25263520.0,5478605,705000.0,0.0,6183605,24,19079915.0,
155,2/28/26,CUB,line_item,UNCOMMITTED SUB COST,,-12467236.0,15781945.0,3314709.0,0,0.0,0.0,0,0,3314709.0,
156,2/28/26,CUB,line_item,GENERAL CONDITIONS,,1622349.0,0.0,1622349.0,0,0.0,0.0,0,0,1622349.0,
157,2/28/26,CUB,line_item,SITE MEDIUM VOLTAGE,ELDECO,4141025.0,0.0,4141025.0,1151795,0.0,0.0,1151795,28,2989230.0,57590.0
