Item No.,Time Period,Phases,Type of work,Contractor name,SCHEDULED ORIGINAL,SCHEDULED CHANGE ORDERS,SCHEDULED CURRENT,WORK COMPLETED FROM PREVIOUS APPLICATION,WORK COMPLETED THIS PERIOD,MATERIALS PRESENTLY STORED,TOTAL COMPLETED AND STORED,% (G / C),Balance to Finish (C-G),RETAINAGE (If Variable Rate),Source Page,Review Notes
172,2/28/26,CUB,MILLWORK,COASTAL MILLWORK & SUPPLY,18455,0,18455,0,2620,0,2620,14%,15835,131,6,
173,2/28/26,CUB,FLOORING,CERTIFIED FINISHES,82194,0,82194,0,0,0,0,0%,82194,0,6,
174,2/28/26,CUB,PROCESS PIPING,ICON MECHANICAL LLC,3678160,0,3678160,0,0,0,0,0%,3678160,0,6,
175,2/28/26,CUB,DIVISION 10 SPECIALTIES,PRECISION WALLS,9179,0,9179,0,0,0,0,0%,9179,0,6,
176,2/28/26,CUB,GH CRANES,MONORAIL HOIST SYSTEM,150874,0,150874,0,0,0,0,0%,150874,0,6,
177,2/28/26,CUB,GENERAL REQUIREMENTS,,763023,0,763023,0,0,0,0,0%,763023,0,6,
178,2/28/26,CUB,BUILDERS RISK,,78924,14,78938,0,0,0,0,0%,78938,0,6,
179,2/28/26,CUB,BUSINESS LICENSE/PERMITS,,18832,17,18849,0,0,0,0,0%,18849,0,6,
180,2/28/26,CUB,CCIP,,803855,434144,1237999,1237859,0,0,1237859,100%,140,0,6,
181,2/28/26,CUB,SDI,,394621,213125,607746,607677,0,0,607677,100%,69,0,6,
182,2/28/26,CUB,FEE,,892660,517670,1410330,396814,39000,0,435814,31%,974516,0,6,
183,2/28/26,T1-T4,3RD PARTY TESTING,INSIGHT GROUP,0,238000,238000,0,0,0,0,0%,238000,0,6,
184,2/28/26,T1-T4,DABICO AIRPORT SOLUTIONS,,0,741230,741230,555922,-185307,0,370615,50%,370615,18531,6,
185,2/28/26,T1-T4,SITEWORK,GULF STREAM CONSTRUCTION COMPANY,0,14902525,14902525,12520963,575835,0,13096798,88%,1805727,654840,6,
