Item No.,Time Period,Phases,Type of work,Contractor name,SCHEDULED ORIGINAL,SCHEDULED CHANGE ORDERS,SCHEDULED CURRENT,WORK COMPLETED FROM PREVIOUS APPLICATION,WORK COMPLETED THIS PERIOD,MATERIALS PRESENTLY STORED,TOTAL COMPLETED AND STORED,% (G / C),Balance to Finish (C-G),RETAINAGE (If Variable Rate),Source Page,Review Notes
102,3/31/26,ALLOWANCE - TEMP BATCH PLANT,GENERAL CONDITIONS,,5018960,30150,5049110,5018960,0,0,5018960,99%,30150,0,4,
103,3/31/26,ALLOWANCE - TEMP BATCH PLANT,GENERAL REQUIREMENTS,,9608,200,9808,0,0,0,0,0%,9808,0,4,
104,3/31/26,ALLOWANCE - TEMP BATCH PLANT,BUILDER'S RISK,,238336,21168,259504,0,0,0,0,0%,259504,0,4,
105,3/31/26,ALLOWANCE - TEMP BATCH PLANT,BUSINESS LICENSE,,56869,3279,60148,0,0,0,0,0%,60148,0,4,
106,3/31/26,ALLOWANCE - TEMP BATCH PLANT,PERMITS,,0,23360,23360,0,0,0,0,0%,23360,0,4,
107,3/31/26,ALLOWANCE - TEMP BATCH PLANT,CCIP,,2427503,482169,2909672,2695900,0,0,2695900,93%,213772,0,4,
108,3/31/26,ALLOWANCE - TEMP BATCH PLANT,,,1191683,248039,1439722,1334780,0,0,1334780,93%,104942,0,4,
109,3/31/26,ALLOWANCE - TEMP BATCH PLANT,FEE,,2695682,583319,3279001,1226151,215000,0,1441151,44%,1837850,0,4,
110,3/31/26,TEMP FIRE - PARKING & ROADWAYS,UNCOMMITTED SUB COST,,0,0,0,0,0,0,0,0%,0,0,4,
111,3/31/26,TEMP FIRE - PARKING & ROADWAYS,CONCRETE,LITHKO,0,294249,294249,292166,2083,0,294249,100%,0,14712,4,
112,3/31/26,TEMP FIRE - PARKING & ROADWAYS,ELECTRICAL,FEYEN ZYLSTRA,0,128708,128708,119533,7795,0,127328,99%,1380,6366,4,
113,3/31/26,TEMP FIRE - PARKING & ROADWAYS,SITEWORK,OL THOMPSON,0,706716,706716,665865,7000,0,672865,95%,33851,33643,5,
114,3/31/26,TEMP FIRE - PARKING & ROADWAYS,PERMANENT FENCING,MANER,0,101700,101700,76000,0,0,76000,75%,25700,0,5,
115,3/31/26,TEMP FIRE - PARKING & ROADWAYS,EARTHWORK,LANDMARK,0,40020,40020,40020,0,0,40020,100%,0,0,5,
116,3/31/26,TEMP FIRE - PARKING & ROADWAYS,GENERAL CONDITIONS,,0,128004,128004,0,101123,0,101123,79%,26881,0,5,
117,3/31/26,TEMP FIRE - PARKING & ROADWAYS,GENERAL REQUIREMENTS,,0,122497,122497,0,0,0,0,0%,122497,0,5,
118,3/31/26,TEMP FIRE - PARKING & ROADWAYS,,,0,9527,9527,0,0,0,0,0%,9527,0,5,
119,3/31/26,DESIGN ESCALATION,BUSINESS LICENSE/PERMITS,,0,2073,2073,0,0,0,0,0%,2073,0,5,
120,3/31/26,DESIGN ESCALATION,BUILDER'S RISK,,0,292,292,0,0,0,0,0%,292,0,5,
121,3/31/26,DESIGN ESCALATION,CCIP,,0,26573,26573,15240,0,0,15240,57%,11333,0,5,
122,3/31/26,DESIGN ESCALATION,SDI,,0,36608,36608,31045,0,0,31045,85%,5563,0,5,
123,3/31/26,DESIGN ESCALATION,FEE,,0,50504,50504,39600,3540,0,43140,85%,7364,0,5,
124,3/31/26,8848 -88-48 FINAL ASSEMBLY BLDG,,,-162499267,160250184,-2249083,0,0,0,0,0%,-2249083,0,5,
125,3/31/26,UNCOMMITTED SUB COST,STRUCTURAL STEEL,SC STEEL,102462000,20576163,123038163,53541023,4250741,3827615,61619379,50%,61418784,3080969,5,
126,3/31/26,UNCOMMITTED SUB COST,IMP,MR&D,8139666,1800,8141466,64412,0,0,64412,1%,8077054,3221,5,
127,3/31/26,UNCOMMITTED SUB COST,HANGER DOORS,INTERNATIONAL DOOR,13104689,2055253,15159942,950022,0,0,950022,6%,14209920,47501,5,
128,3/31/26,UNCOMMITTED SUB COST,DEEP FOUNDATIONS CAISSONS,BAUER,8003550,2186125,10189675,8589721,1285099,0,9874820,97%,314855,493741,5,
129,3/31/26,UNCOMMITTED SUB COST,BRIDGE CRANES,AMERICAN CRANE,73819000,1821994,75640994,9909158,1280512,0,11189670,15%,64451324,559484,5,
130,3/31/26,UNCOMMITTED SUB COST,ELEVATORS,SCHINDLER,9000000,82999,9082999,3234429,0,0,3234429,36%,5848570,161721,5,
131,3/31/26,UNCOMMITTED SUB COST,,,22130190,0,22130190,7409469,134088,0,7543557,34%,14586633,377178,5,
132,3/31/26,SITE MEDIUM VOLTAGE(ELDECO),CONCRETE BATCH PLANT,CONCRETE SUPPLY,324406,0,324406,0,0,0,0,0%,324406,0,5,
133,3/31/26,SITE MEDIUM VOLTAGE(ELDECO),CIC CONCRETE,WAYNE BROTHERS,41452021,311080,41763101,8083027,3807600,0,11890627,28%,29872474,594531,5,
134,3/31/26,SITE MEDIUM VOLTAGE(ELDECO),SITEWORK & EXCAVATION,OL THOMPSON,26636786,231739,26868525,15417757,2867892,0,18285649,68%,8582876,914282,5,
135,3/31/26,SITE MEDIUM VOLTAGE(ELDECO),PRECAST CONCRETE PANELS,FLORENCE CONCRETE,1440001,2195,1442196,524151,174947,0,699098,48%,743098,34955,5,
136,3/31/26,SITE MEDIUM VOLTAGE(ELDECO),ROOFING,AAR OF NORTH CAROLINA,6534364,126653,6661017,0,0,0,0,0%,6661017,0,5,
137,3/31/26,SITE MEDIUM VOLTAGE(ELDECO),TRANSLUCENT PANELS,CAROLINA ARCHITECTURAL PRODUCTS,1430310,43702,1474012,121576,0,0,121576,8%,1352436,6079,5,
138,3/31/26,SITE MEDIUM VOLTAGE(ELDECO),,,95619000,4318468,99937468,4349998,862297,0,5212295,5%,94725173,260615,5,
139,3/31/26,MECHANICAL & PLUMBING(BELL CONSTRUCTORS),FIRE PROTECTION,SHAMBAUGH & SON,14347770,113960,14461730,180000,45000,0,225000,2%,14236730,11250,5,
140,3/31/26,MECHANICAL & PLUMBING(BELL CONSTRUCTORS),ELECTRICAL/FIRE ALARM SYSTEM,ELDECO,163284605,10401562,173686167,28464342,814914,0,29279256,17%,144406911,1463963,5,
141,3/31/26,MECHANICAL & PLUMBING(BELL CONSTRUCTORS),STRUCTURAL STEEL TUNNEL LIDS,STEELFAB,23550950,0,23550950,251250,-50250,0,201000,1%,23349950,10050,5,
142,3/31/26,MECHANICAL & PLUMBING(BELL CONSTRUCTORS),STRUCTURAL PAINTING,SOUTHERN PAINTING,7875000,0,7875000,0,0,0,0,0%,7875000,0,5,
143,3/31/26,MECHANICAL & PLUMBING(BELL CONSTRUCTORS),GLASS AND GLAZING,GLASSCORP,6101008,0,6101008,1720208,0,0,1720208,28%,4380800,86010,5,
144,3/31/26,MECHANICAL & PLUMBING(BELL CONSTRUCTORS),TEMPORARY MATERIAL HOIST,MASTCLIMBERS,1303828,0,1303828,0,0,0,0,0%,1303828,0,5,
145,3/31/26,MECHANICAL & PLUMBING(BELL CONSTRUCTORS),,,860750,0,860750,0,0,0,0,0%,860750,0,5,
146,3/31/26,MASONRY(OLD NORTH STATE MASONRY),DOORS AND HARDWARE,UNIFIED DOORS,1661164,0,1661164,0,0,0,0,0%,1661164,0,5,
147,3/31/26,MASONRY(OLD NORTH STATE MASONRY),,,1347694,0,1347694,0,0,0,0,0%,1347694,0,5,
148,3/31/26,OVERHEAD DOOR(MINER CORP),COMPRESSED AIR SYSTEM,ICON MECHANICAL,10279434,0,10279434,0,0,0,0,0%,10279434,0,5,
149,3/31/26,OVERHEAD DOOR(MINER CORP),KITCHEN EQUIPMENT,SINGER T&L,1327895,0,1327895,0,0,0,0,0%,1327895,0,5,
150,3/31/26,OVERHEAD DOOR(MINER CORP),RESIDENTIAL EQUIPMENT,SINGER T&L,346800,0,346800,0,0,0,0,0%,346800,0,5,
151,3/31/26,OVERHEAD DOOR(MINER CORP),"FRAMING, DRYWALL ACOUSTIC",ROCKSPRING,7796500,0,7796500,0,0,0,0,0%,7796500,0,5,
152,3/31/26,OVERHEAD DOOR(MINER CORP),"FRAMING, DRYWALL ACOUSTIC",PRECISION,8023338,0,8023338,0,0,0,0,0%,8023338,0,5,
153,3/31/26,OVERHEAD DOOR(MINER CORP),WIRE MESH PARTITION,CAROLINA MATERIAL HANDLING,443362,0,443362,0,0,0,0,0%,443362,0,5,
154,3/31/26,OVERHEAD DOOR(MINER CORP),,,1510999,0,1510999,0,0,0,0,0%,1510999,0,5,
155,3/31/26,SPECIALTIES(LIGHT GAUGE),MILLWORK,COASTAL MILLWORK,2634274,0,2634274,0,0,0,0,0%,2634274,0,5,
156,3/31/26,SPECIALTIES(LIGHT GAUGE),JOINT SEALANTS AND EXPANSION CONTROLS,ALPHA INSULATION,476480,0,476480,0,0,0,0,0%,476480,0,5,
157,3/31/26,SPECIALTIES(LIGHT GAUGE),WINDOW COVERINGS,PRECISION WALLS,358997,0,358997,0,0,0,0,0%,358997,0,6,
158,3/31/26,SPECIALTIES(LIGHT GAUGE),FABRIC AND SOUND PROOFING,WARCO,1174991,0,1174991,0,0,0,0,0%,1174991,0,6,
159,3/31/26,SPECIALTIES(LIGHT GAUGE),HIGH PERFORMANCE COATINGS,DAVID ALLEN COMPANY,1227984,0,1227984,0,0,0,0,0%,1227984,0,6,
160,3/31/26,SPECIALTIES(LIGHT GAUGE),"TILE, CARPET & FLOORING EAST TOWER",CERTIFIED FINISHES,1299926,0,1299926,0,0,0,0,0%,1299926,0,6,
161,3/31/26,SPECIALTIES(LIGHT GAUGE),"TILE, CARPET & FLOORING WEST TOWER",GARMON & COMPANY,1204100,0,1204100,0,0,0,0,0%,1204100,0,6,
162,3/31/26,SPECIALTIES(LIGHT GAUGE),,,0,40913,40913,0,0,0,0,0%,40913,0,6,
163,3/31/26,DEMOLITION(DECO),GENERAL REQUIREMENTS,,16025575,3067,16028642,0,0,0,0,0%,16028642,0,6,
164,3/31/26,DEMOLITION(DECO),GENERAL CONDITIONS,,26279917,0,26279917,8557208,3145753,0,11702961,45%,14576956,0,6,
165,3/31/26,DEMOLITION(DECO),PERMIT,,2000000,187853,2187853,2000000,0,0,2000000,91%,187853,0,6,
166,3/31/26,DEMOLITION(DECO),BUILDER'S RISK,,1694880,50209,1745089,0,0,0,0,0%,1745089,0,6,
167,3/31/26,DEMOLITION(DECO),BUSINESS LICENSE,,404410,26329,430739,0,0,0,0,0%,430739,0,6,
168,3/31/26,DEMOLITION(DECO),CCIP,,17262663,5917559,23180222,20750888,0,0,20750888,90%,2429334,0,6,
169,3/31/26,DEMOLITION(DECO),SDI,,8474398,2583244,11057642,10222060,0,0,10222060,92%,835582,0,6,
170,3/31/26,DEMOLITION(DECO),FEE,,19169747,6656816,25826563,6183605,425000,0,6608605,26%,19217958,0,6,
171,3/31/26,CUB - CUB,UNCOMMITTED SUB COST,,-12467236,15781945,3314709,0,0,0,0,0%,3314709,0,6,
172,3/31/26,CUB - CUB,GENERAL CONDITIONS,,1622349,0,1622349,0,0,0,0,0%,1622349,0,6,
173,3/31/26,CUB - CUB,SITE MEDIUM VOLTAGE,ELDECO,4141025,0,4141025,1151795,26750,0,1178545,28%,2962480,58927,6,
174,3/31/26,CUB - CUB,PRECAST CONCRETE PANELS,FLORENCE CONCRETE,310457,0,310457,24627,0,0,24627,8%,285830,1231,6,
